ID ID_BURGDORF NAME LOCATION PROXY LON LAT SEAS VARIABLE UNIT PERIOD_START PERIOD_END N REF_PERIOD_START REF_PERIOD_END REFDATA MODEL CORREL PVAL
1 424 Plant_phenology_UK_Pheno_Index_spring UK Pheno_Index -3 54.5 Spring Start_Date DOY 1753 2009 252 1781 1950 BEST DecJanFebMarAprMay 0.6782035 2.84e-19
2 419 Plant_phenology_Vienna_Grape_Harvest_Date Vienna Grape 16.3738 48.2082 Summer Grape_Harvest_Date DOY 1523 1749 195 NA NA NA none NA NA
3 426 Plant_phenology_Norwich_Snowdrop_flowering Norwich Snowdrop 1.2755 52.7361 Spring Flowering_Date DOY 1736 1947 168 1781 1947 BEST DecJan 0.3532248 0.000141645
4 427 Plant_phenology_Norwich_Anemone_flowering Norwich Anemone 1.2755 52.7361 Spring Flowering_Date DOY 1736 1947 143 1781 1947 BEST NovDecJanFebMar 0.7171641 1.79e-18
5 428 Plant_phenology_Norwich_Hawthorne_flowering Norwich Hawthorne 1.2755 52.7361 Spring Flowering_Date DOY 1736 1947 165 1781 1947 BEST MarApr 0.6384824 1.34e-14
6 429 Plant_phenology_Norwich_Hawleaf_leafing Norwich Hawleaf 1.2755 52.7361 Spring Leafing_Date DOY 1736 1947 174 1781 1947 BEST OctNovDecJanFebMarApr 0.7312536 1.77e-18
7 430 Plant_phenology_Norwich_Sycamore_leafing Norwich Sycamore 1.2755 52.7361 Spring Leafing_Date DOY 1736 1947 164 1781 1947 BEST FebMar 0.6282108 3.05e-14
8 431 Plant_phenology_Norwich_Birch_leafing Norwich Birch 1.2755 52.7361 Spring Leafing_Date DOY 1736 1947 164 1781 1947 BEST OctNovFebMar 0.6541475 1.12e-14
9 432 Plant_phenology_Norwich_Elm_leafing Norwich Elm 1.2755 52.7361 Spring Leafing_Date DOY 1736 1947 137 1781 1947 BEST Mar 0.4846277 8.1e-08
10 433 Plant_phenology_Norwich_Mountainash_leafing Norwich Mountainash 1.2755 52.7361 Spring Leafing_Date DOY 1736 1947 154 1781 1947 BEST OctNovFebMarApr 0.8065248 9.96e-27
11 434 Plant_phenology_Norwich_Oak_leafing Norwich Oak 1.2755 52.7361 Spring Leafing_Date DOY 1736 1947 167 1781 1947 BEST NovDecJanFebMarApr 0.8470025 2.87e-32
12 435 Plant_phenology_Norwich_Beech_leafing Norwich Beech 1.2755 52.7361 Spring Leafing_Date DOY 1736 1947 167 1781 1947 BEST NovMarApr 0.6953758 1.03e-18
13 436 Plant_phenology_Norwich_Horsechestnut_leafing Norwich Horsechestnut 1.2755 52.7361 Spring Leafing_Date DOY 1736 1947 162 1781 1947 BEST Mar 0.6875395 3.27e-20
